1,2,3,4,5,6,7,8,9,10,11,12,13,14
7.72,76,124.26,4.19,2.29,4.8133,25.88680645,0.561163636,2.5924,163.4565806,9.939845437,22.53126542,100,0
7.72,27,124.26,2,0.27,0.0776,8.725957447,0.776986301,1.670547945,23.70293478,13.04819889,44.53953941,99.81,0
7.72,52,124.26,8.98,1.5,0.2509,29.43356757,0.356432432,0.954648649,121.6135135,3.886330451,13.28011319,94.95,0
9.17,59,121.36,3.92,0.72,2.0514,22.59610236,0.416766169,1.514972067,80.76070866,12.70741358,33.52352791,99.26,0
9.17,31,121.36,2.11,0.9,2.2526,22.23982379,0.630819672,0.510614754,75.36882943,12.87036426,38.31293358,98.4,0
7.72,90,124.26,1.27,1.61,2.0799,27.83670213,0.518277778,0.145480226,110.6301064,7.4846991,21.56837804,100,0
7.72,80,124.26,1.94,1.61,0.7578,15.46824903,0.372018349,0.431157407,30.00941634,14.72780251,41.08819237,98.3,0
9.17,50,121.36,7.14,2.48,0.2617,5.59626506,0.256352941,0.502470588,11.91338583,11.35836749,30.7374049,90.4,0
9.17,78,121.36,2.23,2.18,0.4537,29.5115508,0.569518717,1.568983957,114.7254545,3.864771864,21.26813736,89.9,0
9.17,68,121.36,2.83,0.71,2.5007,20.65860377,0.408478261,1.489834254,87.74740351,13.89390895,36.99919053,95.13,0
9.17,100,121.36,1.62,0.86,0.4795,12.892,0.372567568,0.623378378,29.43860697,14.38711416,34.64329154,94.07,0
9.17,31,121.36,5.33,6.14,0.483,5.921145833,0.173963964,0.399009009,17.00704225,11.73870194,30.57380224,92.1,0
9.17,105,121.36,6.54,5.38,2.7888,18.39616034,0.432274678,1.829871245,103.4643636,14.26781277,42.08689,100,0
9.17,65,121.36,1.99,2.43,2.4232,28.82789474,0.483405405,1.184162162,127.5492632,5.533347943,23.11385756,96.03,0
9.17,164,121.36,7.3,1.06,1.0282,8.466690647,0.242941176,0.79872549,69.80645161,13.27019475,42.3272797,97.3,0
9.17,56,121.36,6.25,1.77,0.0194,8.069352518,0.167829457,0.3776,5.277419355,13.08379921,35.39945745,100,0
7.72,67,124.26,4.22,5.44,1.7135,29.95146739,0.370543478,0.76451087,181.7783696,2.537406171,21.13603839,95.89,0
9.17,59,121.36,3.42,0.33,2.7928,16.58146597,0.525925926,0.954740741,113.5245528,14.73763874,35.13355855,93.71,0
9.17,81,121.36,4.21,0.9,1.1751,6.46,0.335841584,1.29049505,42.57608696,11.84261809,22.14996868,76.5,0
